state,business_activity,loss_type,period,gram,milligram,milliliter,unit
AK,HOSPITAL,BREAK-IN/BURGLARY,2019,0.0,0.0,0.0,0.0
AK,HOSPITAL,BREAK-IN/BURGLARY,2020,0.0,0.0,0.0,0.0
AK,HOSPITAL,BREAK-IN/BURGLARY,2021,0.0,0.0,0.0,0.0
AK,HOSPITAL,BREAK-IN/BURGLARY,JAN-SEP 2022,0.0,0.0,0.0,0.0
AK,HOSPITAL,CUSTOMER THEFT (OR NON EMPLOYEE),2010,0.0,0.0,0.0,0.0
AK,HOSPITAL,CUSTOMER THEFT (OR NON EMPLOYEE),2011,0.0,0.0,0.0,0.0
AK,HOSPITAL,CUSTOMER THEFT (OR NON EMPLOYEE),2012,0.0,0.0,0.0,0.0
AK,HOSPITAL,CUSTOMER THEFT (OR NON EMPLOYEE),2013,0.0,0.0,0.0,0.0
AK,HOSPITAL,CUSTOMER THEFT (OR NON EMPLOYEE),2014,0.0,0.0,0.0,0.0
AK,HOSPITAL,CUSTOMER THEFT (OR NON EMPLOYEE),2015,0.0,0.0,0.0,0.0
AK,HOSPITAL,CUSTOMER THEFT (OR NON EMPLOYEE),2016,0.0,0.0,0.0,0.0
AK,HOSPITAL,CUSTOMER THEFT (OR NON EMPLOYEE),2017,0.0,0.0,0.0,0.0
AK,HOSPITAL,CUSTOMER THEFT (OR NON EMPLOYEE),2018,0.0,0.0,23.0,0.0
AK,HOSPITAL,CUSTOMER THEFT (OR NON EMPLOYEE),2019,0.0,0.0,20.0,0.0
AK,HOSPITAL,CUSTOMER THEFT (OR NON EMPLOYEE),2020,0.0,0.0,0.0,0.0
AK,HOSPITAL,CUSTOMER THEFT (OR NON EMPLOYEE),2021,0.0,0.0,0.0,0.0
AK,HOSPITAL,CUSTOMER THEFT (OR NON EMPLOYEE),JAN-SEP 2022,0.0,0.0,0.0,0.0
AK,HOSPITAL,EMPLOYEE THEFT (OR SUSPECTED),2010,0.0,0.0,9.0,197.0
AK,HOSPITAL,EMPLOYEE THEFT (OR SUSPECTED),2011,2.0,0.0,0.0,693.0
AK,HOSPITAL,EMPLOYEE THEFT (OR SUSPECTED),2012,0.0,0.0,0.0,94.0
AK,HOSPITAL,EMPLOYEE THEFT (OR SUSPECTED),2013,0.0,0.0,0.0,625.0
AK,HOSPITAL,EMPLOYEE THEFT (OR SUSPECTED),2014,0.0,0.0,604.0,44.0
AK,HOSPITAL,EMPLOYEE THEFT (OR SUSPECTED),2015,0.0,0.0,20.55,15594.0
AK,HOSPITAL,EMPLOYEE THEFT (OR SUSPECTED),2016,0.0,0.0,158.0,39.0
AK,HOSPITAL,EMPLOYEE THEFT (OR SUSPECTED),2017,0.0,0.0,72.35,27.0
AK,HOSPITAL,EMPLOYEE THEFT (OR SUSPECTED),2018,0.0,0.0,0.0,81.0
AK,HOSPITAL,EMPLOYEE THEFT (OR SUSPECTED),2019,0.0,0.0,1.0,101.0
AK,HOSPITAL,EMPLOYEE THEFT (OR SUSPECTED),2020,0.0,0.0,126.0,0.0
AK,HOSPITAL,EMPLOYEE THEFT (OR SUSPECTED),2021,0.0,0.0,5.0,1.0
AK,HOSPITAL,EMPLOYEE THEFT (OR SUSPECTED),JAN-SEP 2022,0.0,0.0,4.0,2.0
AK,HOSPITAL,LOSS IN TRANSIT,2010,0.0,0.0,0.0,0.0
AK,HOSPITAL,LOSS IN TRANSIT,2011,0.0,0.0,0.0,328.0
AK,HOSPITAL,LOSS IN TRANSIT,2012,0.0,0.0,0.0,431.0
AK,HOSPITAL,LOSS IN TRANSIT,2013,236.0,0.0,24.0,152.0
AK,HOSPITAL,LOSS IN TRANSIT,2014,0.0,0.0,0.0,2.0
AK,HOSPITAL,LOSS IN TRANSIT,2015,0.0,0.0,0.0,0.0
AK,HOSPITAL,LOSS IN TRANSIT,2016,0.0,0.0,0.0,0.0
AK,HOSPITAL,LOSS IN TRANSIT,2017,0.0,0.0,0.0,60.0
AK,HOSPITAL,LOSS IN TRANSIT,2018,0.0,0.0,0.0,1.0
AK,HOSPITAL,LOSS IN TRANSIT,2019,0.0,0.0,0.0,294.0
AK,HOSPITAL,LOSS IN TRANSIT,2020,0.0,0.0,0.0,0.0
AK,HOSPITAL,LOSS IN TRANSIT,2021,0.0,0.0,0.0,0.0
AK,HOSPITAL,LOSS IN TRANSIT,JAN-SEP 2022,0.0,0.0,0.0,60.0
AK,HOSPITAL,OTHER,2010,0.0,0.0,93.0,5762.0
AK,HOSPITAL,OTHER,2011,0.0,0.0,11.0,178.0
AK,HOSPITAL,OTHER,2012,0.0,0.0,0.0,6.0
AK,HOSPITAL,OTHER,2013,0.0,0.0,4.0,331.0
AK,HOSPITAL,OTHER,2014,0.0,0.0,3.5,176.0
AK,HOSPITAL,OTHER,2015,0.0,0.0,38.7,549.5
AK,HOSPITAL,OTHER,2016,0.0,0.0,10.0,149.0
AK,HOSPITAL,OTHER,2017,0.0,0.0,100.0,88.0
AK,HOSPITAL,OTHER,2018,0.0,0.0,0.0,3.0
AK,HOSPITAL,OTHER,2019,0.0,0.0,0.0,0.0
AK,HOSPITAL,OTHER,2020,0.0,0.0,0.0,0.0
AK,HOSPITAL,OTHER,2021,0.0,0.0,0.0,0.0
AK,HOSPITAL,OTHER,JAN-SEP 2022,0.0,0.0,0.0,0.0
AK,HOSPITAL,PACKAGING DISCREPANCY,2010,0.0,0.0,0.0,0.0
AK,HOSPITAL,PACKAGING DISCREPANCY,2011,0.0,0.0,0.0,0.0
AK,HOSPITAL,PACKAGING DISCREPANCY,2012,0.0,0.0,0.0,0.0
AK,HOSPITAL,PACKAGING DISCREPANCY,2013,0.0,0.0,0.0,0.0
AK,HOSPITAL,PACKAGING DISCREPANCY,2014,0.0,0.0,0.0,0.0
AK,HOSPITAL,PACKAGING DISCREPANCY,2015,0.0,0.0,0.0,0.0
AK,HOSPITAL,PACKAGING DISCREPANCY,2016,0.0,0.0,0.0,0.0
AK,HOSPITAL,PACKAGING DISCREPANCY,2017,0.0,0.0,0.0,0.0
AK,HOSPITAL,PACKAGING DISCREPANCY,2018,0.0,0.0,0.0,0.0
AK,HOSPITAL,PACKAGING DISCREPANCY,2019,0.0,0.0,0.0,0.0
AK,HOSPITAL,PACKAGING DISCREPANCY,2020,0.0,0.0,0.0,81.0
AK,HOSPITAL,PACKAGING DISCREPANCY,2021,0.0,0.0,0.0,13.0
AK,HOSPITAL,PACKAGING DISCREPANCY,JAN-SEP 2022,0.0,0.0,0.0,172.0
AK,MID LEVEL PRACTITIONER,OTHER,2010,0.0,0.0,0.0,9.0
AK,MID LEVEL PRACTITIONER,OTHER,2011,0.0,0.0,0.0,10.0
AK,MID LEVEL PRACTITIONER,OTHER,2012,0.0,0.0,0.0,0.0
AK,MID LEVEL PRACTITIONER,OTHER,2013,0.0,0.0,0.0,0.0
AK,MID LEVEL PRACTITIONER,OTHER,2014,0.0,0.0,0.0,0.0
AK,MID LEVEL PRACTITIONER,OTHER,2015,0.0,0.0,0.0,1.0
AK,MID LEVEL PRACTITIONER,OTHER,2016,0.0,0.0,1.0,0.0
AK,MID LEVEL PRACTITIONER,OTHER,2017,0.0,0.0,0.0,0.0
AK,MID LEVEL PRACTITIONER,OTHER,2018,0.0,0.0,0.0,71.0
AK,MID LEVEL PRACTITIONER,OTHER,2019,0.0,0.0,0.0,0.0
AK,MID LEVEL PRACTITIONER,OTHER,2020,0.0,0.0,0.0,0.0
AK,MID LEVEL PRACTITIONER,OTHER,2021,0.0,0.0,0.0,0.0
AK,MID LEVEL PRACTITIONER,OTHER,JAN-SEP 2022,0.0,0.0,0.0,0.0
AK,PHARMACY,BREAK-IN/BURGLARY,2010,77.0,0.0,2819.0,5273.0
AK,PHARMACY,BREAK-IN/BURGLARY,2011,0.0,0.0,0.0,2535.0
AK,PHARMACY,BREAK-IN/BURGLARY,2012,187.0,0.0,1815.0,8100.0
AK,PHARMACY,BREAK-IN/BURGLARY,2013,0.0,0.0,0.0,665.0
AK,PHARMACY,BREAK-IN/BURGLARY,2014,0.0,0.0,1490.0,3097.0
AK,PHARMACY,BREAK-IN/BURGLARY,2015,0.0,0.0,0.0,0.0
AK,PHARMACY,BREAK-IN/BURGLARY,2016,0.0,0.0,0.0,0.0
AK,PHARMACY,BREAK-IN/BURGLARY,2017,0.0,0.0,0.0,0.0
AK,PHARMACY,BREAK-IN/BURGLARY,2018,0.0,0.0,0.0,0.0
AK,PHARMACY,BREAK-IN/BURGLARY,2019,0.0,0.0,500.0,4762.0
AK,PHARMACY,BREAK-IN/BURGLARY,2020,0.0,0.0,0.0,0.0
AK,PHARMACY,BREAK-IN/BURGLARY,2021,0.0,0.0,0.0,0.0
AK,PHARMACY,BREAK-IN/BURGLARY,JAN-SEP 2022,0.0,0.0,0.0,0.0
AK,PHARMACY,CUSTOMER THEFT (OR NON EMPLOYEE),2010,0.0,0.0,0.0,0.0
AK,PHARMACY,CUSTOMER THEFT (OR NON EMPLOYEE),2011,0.0,0.0,0.0,0.0
AK,PHARMACY,CUSTOMER THEFT (OR NON EMPLOYEE),2012,0.0,0.0,0.0,40.0
AK,PHARMACY,CUSTOMER THEFT (OR NON EMPLOYEE),2013,0.0,0.0,0.0,0.0
AK,PHARMACY,CUSTOMER THEFT (OR NON EMPLOYEE),2014,0.0,0.0,0.0,0.0
AK,PHARMACY,CUSTOMER THEFT (OR NON EMPLOYEE),2015,0.0,0.0,0.0,0.0
AK,PHARMACY,CUSTOMER THEFT (OR NON EMPLOYEE),2016,0.0,0.0,0.0,0.0
AK,PHARMACY,CUSTOMER THEFT (OR NON EMPLOYEE),2017,0.0,0.0,0.0,60.0
AK,PHARMACY,CUSTOMER THEFT (OR NON EMPLOYEE),2018,0.0,0.0,0.0,0.0
AK,PHARMACY,CUSTOMER THEFT (OR NON EMPLOYEE),2019,0.0,0.0,0.0,0.0
AK,PHARMACY,CUSTOMER THEFT (OR NON EMPLOYEE),2020,0.0,0.0,0.0,0.0
AK,PHARMACY,CUSTOMER THEFT (OR NON EMPLOYEE),2021,0.0,0.0,0.0,0.0
AK,PHARMACY,CUSTOMER THEFT (OR NON EMPLOYEE),JAN-SEP 2022,0.0,0.0,0.0,0.0
AK,PHARMACY,EMPLOYEE THEFT (OR SUSPECTED),2010,0.0,0.0,0.0,1574.0
AK,PHARMACY,EMPLOYEE THEFT (OR SUSPECTED),2011,0.0,0.0,0.0,22800.0
AK,PHARMACY,EMPLOYEE THEFT (OR SUSPECTED),2012,0.0,0.0,0.0,0.0
AK,PHARMACY,EMPLOYEE THEFT (OR SUSPECTED),2013,0.0,0.0,0.0,0.0
AK,PHARMACY,EMPLOYEE THEFT (OR SUSPECTED),2014,0.0,0.0,11352.0,11201.0
AK,PHARMACY,EMPLOYEE THEFT (OR SUSPECTED),2015,0.0,0.0,0.0,104.0
AK,PHARMACY,EMPLOYEE THEFT (OR SUSPECTED),2016,0.0,0.0,0.0,0.0
AK,PHARMACY,EMPLOYEE THEFT (OR SUSPECTED),2017,0.0,0.0,0.0,1165.0
AK,PHARMACY,EMPLOYEE THEFT (OR SUSPECTED),2018,0.0,0.0,0.0,2480.0
AK,PHARMACY,EMPLOYEE THEFT (OR SUSPECTED),2019,0.0,0.0,0.0,671.0
AK,PHARMACY,EMPLOYEE THEFT (OR SUSPECTED),2020,0.0,0.0,0.0,50.0
AK,PHARMACY,EMPLOYEE THEFT (OR SUSPECTED),2021,0.0,0.0,0.0,100.0
AK,PHARMACY,EMPLOYEE THEFT (OR SUSPECTED),JAN-SEP 2022,0.0,0.0,3.0,283.0
AK,PHARMACY,LOSS IN TRANSIT,2010,473.0,0.0,260.0,90.0
AK,PHARMACY,LOSS IN TRANSIT,2011,0.0,0.0,0.0,100.0
AK,PHARMACY,LOSS IN TRANSIT,2012,45.0,0.0,670.0,2725.0
AK,PHARMACY,LOSS IN TRANSIT,2013,0.0,0.0,0.0,0.0
AK,PHARMACY,LOSS IN TRANSIT,2014,0.0,0.0,0.0,0.0
AK,PHARMACY,LOSS IN TRANSIT,2015,0.0,0.0,0.0,0.0
AK,PHARMACY,LOSS IN TRANSIT,2016,0.0,0.0,0.0,0.0
AK,PHARMACY,LOSS IN TRANSIT,2017,0.0,0.0,0.0,0.0
AK,PHARMACY,LOSS IN TRANSIT,2018,0.0,0.0,1.0,414.0
AK,PHARMACY,LOSS IN TRANSIT,2019,0.0,0.0,10.0,508.0
AK,PHARMACY,LOSS IN TRANSIT,2020,0.0,0.0,0.0,40.0
AK,PHARMACY,LOSS IN TRANSIT,2021,0.0,0.0,1423.0,1140.0
AK,PHARMACY,LOSS IN TRANSIT,JAN-SEP 2022,0.0,0.0,0.0,262.0
AK,PHARMACY,OTHER,2010,0.0,0.0,400.0,129.0
AK,PHARMACY,OTHER,2011,0.0,0.0,0.0,85.0
AK,PHARMACY,OTHER,2012,0.0,0.0,100.0,571.0
AK,PHARMACY,OTHER,2013,0.0,0.0,92.0,844.0
AK,PHARMACY,OTHER,2014,0.0,0.0,40.0,13269.0
AK,PHARMACY,OTHER,2015,0.0,0.0,184.0,261.0
AK,PHARMACY,OTHER,2016,0.0,0.0,473.0,910.0
AK,PHARMACY,OTHER,2017,0.0,0.0,1872.0,2345.0
AK,PHARMACY,OTHER,2018,0.0,0.0,3.0,1004.0
AK,PHARMACY,OTHER,2019,0.0,0.0,260.0,143.0
AK,PHARMACY,OTHER,2020,0.0,0.0,0.0,0.0
AK,PHARMACY,OTHER,2021,0.0,0.0,0.0,0.0
AK,PHARMACY,OTHER,JAN-SEP 2022,0.0,0.0,0.0,0.0
AK,PHARMACY,PACKAGING DISCREPANCY,2010,0.0,0.0,0.0,0.0
AK,PHARMACY,PACKAGING DISCREPANCY,2011,0.0,0.0,0.0,0.0
AK,PHARMACY,PACKAGING DISCREPANCY,2012,0.0,0.0,0.0,0.0
AK,PHARMACY,PACKAGING DISCREPANCY,2013,0.0,0.0,0.0,0.0
AK,PHARMACY,PACKAGING DISCREPANCY,2014,0.0,0.0,0.0,0.0
AK,PHARMACY,PACKAGING DISCREPANCY,2015,0.0,0.0,0.0,0.0
AK,PHARMACY,PACKAGING DISCREPANCY,2016,0.0,0.0,0.0,0.0
AK,PHARMACY,PACKAGING DISCREPANCY,2017,0.0,0.0,0.0,0.0
AK,PHARMACY,PACKAGING DISCREPANCY,2018,0.0,0.0,0.0,0.0
AK,PHARMACY,PACKAGING DISCREPANCY,2019,0.0,825.0,94.0,520.0
AK,PHARMACY,PACKAGING DISCREPANCY,2020,0.0,0.0,55.0,342.0
AK,PHARMACY,PACKAGING DISCREPANCY,2021,0.0,0.0,12.0,267.0
AK,PHARMACY,PACKAGING DISCREPANCY,JAN-SEP 2022,0.0,150.0,270.0,400.0
AK,PHARMACY,ROBBERY,2010,0.0,0.0,100.0,0.0
AK,PHARMACY,ROBBERY,2011,0.0,0.0,0.0,0.0
AK,PHARMACY,ROBBERY,2012,0.0,0.0,0.0,0.0
AK,PHARMACY,ROBBERY,2013,0.0,0.0,0.0,0.0
AK,PHARMACY,ROBBERY,2014,0.0,0.0,0.0,0.0
AK,PHARMACY,ROBBERY,2015,0.0,0.0,8.0,15505.0
AK,PHARMACY,ROBBERY,2016,0.0,0.0,561.0,3500.0
AK,PHARMACY,ROBBERY,2017,0.0,0.0,0.0,0.0
AK,PHARMACY,ROBBERY,2018,0.0,0.0,0.0,0.0
AK,PHARMACY,ROBBERY,2019,0.0,0.0,0.0,0.0
AK,PHARMACY,ROBBERY,2020,0.0,0.0,0.0,0.0
AK,PHARMACY,ROBBERY,2021,0.0,0.0,0.0,0.0
AK,PHARMACY,ROBBERY,JAN-SEP 2022,0.0,0.0,0.0,0.0
AK,PRACTITIONER,BREAK-IN/BURGLARY,2010,0.0,0.0,0.0,0.0
AK,PRACTITIONER,BREAK-IN/BURGLARY,2011,0.0,0.0,0.0,0.0
AK,PRACTITIONER,BREAK-IN/BURGLARY,2012,0.0,0.0,0.0,0.0
AK,PRACTITIONER,BREAK-IN/BURGLARY,2013,0.0,0.0,0.0,0.0
AK,PRACTITIONER,BREAK-IN/BURGLARY,2014,0.0,0.0,0.0,0.0
AK,PRACTITIONER,BREAK-IN/BURGLARY,2015,0.0,0.0,0.0,2280.0
AK,PRACTITIONER,BREAK-IN/BURGLARY,2016,0.0,0.0,0.0,0.0
AK,PRACTITIONER,BREAK-IN/BURGLARY,2017,0.0,0.0,0.0,0.0
AK,PRACTITIONER,BREAK-IN/BURGLARY,2018,0.0,0.0,0.0,0.0
AK,PRACTITIONER,BREAK-IN/BURGLARY,2019,0.0,0.0,0.0,100.0
AK,PRACTITIONER,BREAK-IN/BURGLARY,2020,0.0,0.0,0.0,0.0
AK,PRACTITIONER,BREAK-IN/BURGLARY,2021,0.0,0.0,0.0,60.0
AK,PRACTITIONER,BREAK-IN/BURGLARY,JAN-SEP 2022,0.0,0.0,0.0,0.0
AK,PRACTITIONER,CUSTOMER THEFT (OR NON EMPLOYEE),2010,0.0,0.0,0.0,0.0
AK,PRACTITIONER,CUSTOMER THEFT (OR NON EMPLOYEE),2011,0.0,0.0,0.0,0.0
AK,PRACTITIONER,CUSTOMER THEFT (OR NON EMPLOYEE),2012,0.0,0.0,0.0,0.0
AK,PRACTITIONER,CUSTOMER THEFT (OR NON EMPLOYEE),2013,0.0,0.0,0.0,0.0
AK,PRACTITIONER,CUSTOMER THEFT (OR NON EMPLOYEE),2014,0.0,0.0,2.0,0.0
AK,PRACTITIONER,CUSTOMER THEFT (OR NON EMPLOYEE),2015,0.0,0.0,0.0,131.0
AK,PRACTITIONER,CUSTOMER THEFT (OR NON EMPLOYEE),2016,0.0,0.0,0.0,0.0
AK,PRACTITIONER,CUSTOMER THEFT (OR NON EMPLOYEE),2017,0.0,0.0,0.0,0.0
AK,PRACTITIONER,CUSTOMER THEFT (OR NON EMPLOYEE),2018,0.0,0.0,0.0,0.0
AK,PRACTITIONER,CUSTOMER THEFT (OR NON EMPLOYEE),2019,0.0,0.0,0.0,0.0
AK,PRACTITIONER,CUSTOMER THEFT (OR NON EMPLOYEE),2020,0.0,0.0,0.0,0.0
AK,PRACTITIONER,CUSTOMER THEFT (OR NON EMPLOYEE),2021,0.0,0.0,0.0,0.0
AK,PRACTITIONER,CUSTOMER THEFT (OR NON EMPLOYEE),JAN-SEP 2022,0.0,0.0,0.0,0.0
AK,PRACTITIONER,EMPLOYEE THEFT (OR SUSPECTED),2010,0.0,0.0,0.0,0.0
AK,PRACTITIONER,EMPLOYEE THEFT (OR SUSPECTED),2011,0.0,0.0,8.0,59.0
AK,PRACTITIONER,EMPLOYEE THEFT (OR SUSPECTED),2012,0.0,0.0,0.0,0.0
AK,PRACTITIONER,EMPLOYEE THEFT (OR SUSPECTED),2013,0.0,0.0,0.0,0.0
AK,PRACTITIONER,EMPLOYEE THEFT (OR SUSPECTED),2014,0.0,0.0,0.0,0.0
AK,PRACTITIONER,EMPLOYEE THEFT (OR SUSPECTED),2015,0.0,0.0,20.0,0.0
AK,PRACTITIONER,EMPLOYEE THEFT (OR SUSPECTED),2016,0.0,0.0,0.0,320.0
AK,PRACTITIONER,EMPLOYEE THEFT (OR SUSPECTED),2017,0.0,0.0,0.0,394.0
AK,PRACTITIONER,EMPLOYEE THEFT (OR SUSPECTED),2018,31.9,0.0,52.919999999999995,1000.0
AK,PRACTITIONER,EMPLOYEE THEFT (OR SUSPECTED),2019,0.0,0.0,0.0,2.0
AK,PRACTITIONER,EMPLOYEE THEFT (OR SUSPECTED),2020,0.0,0.0,0.0,0.0
AK,PRACTITIONER,EMPLOYEE THEFT (OR SUSPECTED),2021,0.0,0.0,0.0,0.0
AK,PRACTITIONER,EMPLOYEE THEFT (OR SUSPECTED),JAN-SEP 2022,0.0,0.0,0.0,0.0
AK,PRACTITIONER,OTHER,2010,0.0,0.0,1.0,0.0
AK,PRACTITIONER,OTHER,2011,0.0,0.0,20.0,50.0
AK,PRACTITIONER,OTHER,2012,0.0,0.0,0.0,90.0
AK,PRACTITIONER,OTHER,2013,0.0,0.0,0.0,0.0
AK,PRACTITIONER,OTHER,2014,0.0,0.0,12.0,96.0
AK,PRACTITIONER,OTHER,2015,0.0,0.0,11.0,100.0
AK,PRACTITIONER,OTHER,2016,0.0,0.0,0.0,0.0
AK,PRACTITIONER,OTHER,2017,0.0,0.0,0.0,14.0
AK,PRACTITIONER,OTHER,2018,0.0,0.0,0.0,0.0
AK,PRACTITIONER,OTHER,2019,0.0,0.0,0.0,0.0
AK,PRACTITIONER,OTHER,2020,0.0,0.0,0.0,0.0
AK,PRACTITIONER,OTHER,2021,0.0,0.0,0.0,0.0
AK,PRACTITIONER,OTHER,JAN-SEP 2022,0.0,0.0,0.0,0.0
AK,PRACTITIONER,PACKAGING DISCREPANCY,2010,0.0,0.0,0.0,0.0
AK,PRACTITIONER,PACKAGING DISCREPANCY,2011,0.0,0.0,0.0,0.0
AK,PRACTITIONER,PACKAGING DISCREPANCY,2012,0.0,0.0,0.0,0.0
AK,PRACTITIONER,PACKAGING DISCREPANCY,2013,0.0,0.0,0.0,0.0
AK,PRACTITIONER,PACKAGING DISCREPANCY,2014,0.0,0.0,0.0,0.0
AK,PRACTITIONER,PACKAGING DISCREPANCY,2015,0.0,0.0,0.0,0.0
AK,PRACTITIONER,PACKAGING DISCREPANCY,2016,0.0,0.0,0.0,0.0
AK,PRACTITIONER,PACKAGING DISCREPANCY,2017,0.0,0.0,0.0,0.0
AK,PRACTITIONER,PACKAGING DISCREPANCY,2018,0.0,0.0,0.0,0.0
AK,PRACTITIONER,PACKAGING DISCREPANCY,2019,0.0,0.0,0.0,16.0
AK,PRACTITIONER,PACKAGING DISCREPANCY,2020,0.0,0.0,0.0,0.0
AK,PRACTITIONER,PACKAGING DISCREPANCY,2021,0.0,0.0,0.0,0.0
AK,PRACTITIONER,PACKAGING DISCREPANCY,JAN-SEP 2022,0.0,0.0,0.0,0.0
AL,ANALYTICAL LAB,OTHER,2010,0.0,0.0,0.0,0.0
AL,ANALYTICAL LAB,OTHER,2011,0.0,0.0,0.0,0.0
AL,ANALYTICAL LAB,OTHER,2012,0.0,0.0,0.0,0.0
AL,ANALYTICAL LAB,OTHER,2013,0.0,0.0,0.0,0.0
AL,ANALYTICAL LAB,OTHER,2014,0.0,0.0,0.0,0.0
AL,ANALYTICAL LAB,OTHER,2015,0.0,0.0,0.0,0.0
AL,ANALYTICAL LAB,OTHER,2016,0.0,0.0,0.0,0.0
AL,ANALYTICAL LAB,OTHER,2017,0.2,0.0,0.0,0.0
AL,ANALYTICAL LAB,OTHER,2018,0.0,0.0,0.0,0.0
AL,ANALYTICAL LAB,OTHER,2019,0.0,0.0,0.0,0.0
AL,ANALYTICAL LAB,OTHER,2020,0.0,0.0,0.0,0.0
AL,ANALYTICAL LAB,OTHER,2021,0.0,0.0,0.0,0.0
AL,ANALYTICAL LAB,OTHER,JAN-SEP 2022,0.0,0.0,0.0,0.0
AL,DISTRIBUTOR,BREAK-IN/BURGLARY,2010,0.0,0.0,0.0,0.0
AL,DISTRIBUTOR,BREAK-IN/BURGLARY,2011,0.0,0.0,0.0,0.0
AL,DISTRIBUTOR,BREAK-IN/BURGLARY,2012,0.0,0.0,0.0,0.0
AL,DISTRIBUTOR,BREAK-IN/BURGLARY,2013,0.0,0.0,0.0,0.0
AL,DISTRIBUTOR,BREAK-IN/BURGLARY,2014,0.0,0.0,73788.0,744.0
