state,business_activity,period,count
FL,REVERSE DISTRIBUTOR,2010,8
GA,ANALYTICAL LAB,2010,0
GA,CANINE HANDLER,2010,0
GA,DISTRIBUTOR,2010,51
GA,EXPORTER,2010,0
GA,HOSPITAL,2010,69
GA,MANUFACTURER,2010,0
GA,MID LEVEL PRACTITIONER,2010,0
GA,NTP,2010,1
GA,PHARMACY,2010,132
GA,PRACTITIONER,2010,23
GA,RESEARCHER,2010,0
GA,REVERSE DISTRIBUTOR,2010,0
GU,HOSPITAL,2010,0
GU,PHARMACY,2010,0
HI,DISTRIBUTOR,2010,5
HI,HOSPITAL,2010,4
HI,NTP,2010,0
HI,PHARMACY,2010,15
HI,PRACTITIONER,2010,5
IA,ANALYTICAL LAB,2010,0
IA,CANINE HANDLER,2010,0
IA,DISTRIBUTOR,2010,2
IA,HOSPITAL,2010,8
IA,MID LEVEL PRACTITIONER,2010,0
IA,NTP,2010,0
IA,PHARMACY,2010,65
IA,PRACTITIONER,2010,2
IA,RESEARCHER,2010,0
ID,CANINE HANDLER,2010,1
ID,DISTRIBUTOR,2010,0
ID,HOSPITAL,2010,38
ID,MID LEVEL PRACTITIONER,2010,0
ID,PHARMACY,2010,27
ID,PRACTITIONER,2010,11
IL,ANALYTICAL LAB,2010,0
IL,CANINE HANDLER,2010,0
IL,DISTRIBUTOR,2010,52
IL,EXPORTER,2010,0
IL,HOSPITAL,2010,79
IL,MANUFACTURER,2010,2
IL,MID LEVEL PRACTITIONER,2010,1
IL,NTP,2010,1
IL,PHARMACY,2010,145
IL,PRACTITIONER,2010,12
IL,RESEARCHER,2010,1
IL,REVERSE DISTRIBUTOR,2010,0
IL,TEACHING INSTITUTION,2010,0
IN,ANALYTICAL LAB,2010,0
IN,CANINE HANDLER,2010,1
IN,DISTRIBUTOR,2010,15
IN,HOSPITAL,2010,62
IN,IMPORTER,2010,0
IN,MANUFACTURER,2010,0
IN,MID LEVEL PRACTITIONER,2010,0
IN,NTP,2010,1
IN,PHARMACY,2010,200
IN,PRACTITIONER,2010,14
IN,RESEARCHER,2010,1
IN,REVERSE DISTRIBUTOR,2010,0
KS,CANINE HANDLER,2010,1
KS,DISTRIBUTOR,2010,1
KS,HOSPITAL,2010,20
KS,MANUFACTURER,2010,0
KS,MID LEVEL PRACTITIONER,2010,1
KS,NTP,2010,0
KS,PHARMACY,2010,63
KS,PRACTITIONER,2010,7
KS,RESEARCHER,2010,1
KY,CANINE HANDLER,2010,0
KY,DISTRIBUTOR,2010,85
KY,EXPORTER,2010,0
KY,HOSPITAL,2010,72
KY,IMPORTER,2010,0
KY,MANUFACTURER,2010,0
KY,MID LEVEL PRACTITIONER,2010,0
KY,NTP,2010,0
KY,PHARMACY,2010,114
KY,PRACTITIONER,2010,14
KY,RESEARCHER,2010,0
LA,DISTRIBUTOR,2010,3
LA,HOSPITAL,2010,52
LA,MID LEVEL PRACTITIONER,2010,1
LA,NTP,2010,0
LA,PHARMACY,2010,155
LA,PRACTITIONER,2010,11
MA,CANINE HANDLER,2010,1
MA,DISTRIBUTOR,2010,19
MA,HOSPITAL,2010,75
MA,MANUFACTURER,2010,0
MA,MID LEVEL PRACTITIONER,2010,0
MA,NTP,2010,1
MA,PHARMACY,2010,208
MA,PRACTITIONER,2010,17
MA,RESEARCHER,2010,1
MD,ANALYTICAL LAB,2010,0
MD,DISTRIBUTOR,2010,18
MD,EXPORTER,2010,0
MD,HOSPITAL,2010,28
MD,MANUFACTURER,2010,0
MD,MID LEVEL PRACTITIONER,2010,0
MD,NTP,2010,1
MD,PHARMACY,2010,142
MD,PRACTITIONER,2010,13
MD,RESEARCHER,2010,3
ME,DISTRIBUTOR,2010,1
ME,HOSPITAL,2010,14
ME,MID LEVEL PRACTITIONER,2010,0
ME,NTP,2010,2
ME,PHARMACY,2010,83
ME,PRACTITIONER,2010,3
ME,RESEARCHER,2010,0
MI,CANINE HANDLER,2010,0
MI,DISTRIBUTOR,2010,24
MI,EXPORTER,2010,0
MI,HOSPITAL,2010,64
MI,IMPORTER,2010,0
MI,MANUFACTURER,2010,0
MI,MID LEVEL PRACTITIONER,2010,0
MI,NTP,2010,0
MI,PHARMACY,2010,188
MI,PRACTITIONER,2010,9
MI,RESEARCHER,2010,0
MI,REVERSE DISTRIBUTOR,2010,0
MI,TEACHING INSTITUTION,2010,0
MN,ANALYTICAL LAB,2010,0
MN,CANINE HANDLER,2010,0
MN,DISTRIBUTOR,2010,7
MN,HOSPITAL,2010,34
MN,IMPORTER,2010,0
MN,MANUFACTURER,2010,1
MN,MID LEVEL PRACTITIONER,2010,1
MN,NTP,2010,0
MN,PHARMACY,2010,117
MN,PRACTITIONER,2010,5
MN,RESEARCHER,2010,0
MN,REVERSE DISTRIBUTOR,2010,0
MO,ANALYTICAL LAB,2010,0
MO,CANINE HANDLER,2010,0
MO,DISTRIBUTOR,2010,28
MO,HOSPITAL,2010,134
MO,MANUFACTURER,2010,2
MO,MID LEVEL PRACTITIONER,2010,4
MO,NTP,2010,0
MO,PHARMACY,2010,336
MO,PRACTITIONER,2010,20
MO,RESEARCHER,2010,0
MO,TEACHING INSTITUTION,2010,0
MP,PHARMACY,2010,0
MS,DISTRIBUTOR,2010,20
MS,EXPORTER,2010,0
MS,HOSPITAL,2010,20
MS,MANUFACTURER,2010,5
MS,MID LEVEL PRACTITIONER,2010,0
MS,PHARMACY,2010,80
MS,PRACTITIONER,2010,2
MS,RESEARCHER,2010,0
MT,HOSPITAL,2010,24
MT,MID LEVEL PRACTITIONER,2010,1
MT,NTP,2010,0
MT,PHARMACY,2010,20
MT,PRACTITIONER,2010,3
NC,ANALYTICAL LAB,2010,1
NC,CANINE HANDLER,2010,0
NC,DISTRIBUTOR,2010,34
NC,EXPORTER,2010,0
NC,HOSPITAL,2010,83
NC,IMPORTER,2010,0
NC,MANUFACTURER,2010,3
NC,MID LEVEL PRACTITIONER,2010,17
NC,NTP,2010,0
NC,PHARMACY,2010,155
NC,PRACTITIONER,2010,19
NC,RESEARCHER,2010,2
NC,REVERSE DISTRIBUTOR,2010,0
NC,TEACHING INSTITUTION,2010,2
ND,DISTRIBUTOR,2010,0
ND,HOSPITAL,2010,16
ND,IMPORTER,2010,0
ND,MANUFACTURER,2010,0
ND,NTP,2010,0
ND,PHARMACY,2010,11
ND,PRACTITIONER,2010,3
NE,DISTRIBUTOR,2010,6
NE,HOSPITAL,2010,10
NE,MANUFACTURER,2010,0
NE,MID LEVEL PRACTITIONER,2010,0
NE,PHARMACY,2010,35
NE,PRACTITIONER,2010,2
NE,RESEARCHER,2010,0
NH,DISTRIBUTOR,2010,1
NH,HOSPITAL,2010,49
NH,IMPORTER,2010,0
NH,MID LEVEL PRACTITIONER,2010,0
NH,NTP,2010,0
NH,PHARMACY,2010,160
NH,PRACTITIONER,2010,5
NJ,ANALYTICAL LAB,2010,0
NJ,CANINE HANDLER,2010,0
NJ,DISTRIBUTOR,2010,154
NJ,EXPORTER,2010,0
NJ,HOSPITAL,2010,17
NJ,IMPORTER,2010,0
NJ,MANUFACTURER,2010,0
NJ,MID LEVEL PRACTITIONER,2010,0
NJ,NTP,2010,2
NJ,PHARMACY,2010,215
NJ,PRACTITIONER,2010,28
NJ,RESEARCHER,2010,2
NM,HOSPITAL,2010,47
NM,MANUFACTURER,2010,0
NM,MID LEVEL PRACTITIONER,2010,6
NM,NTP,2010,1
NM,PHARMACY,2010,59
NM,PRACTITIONER,2010,11
NM,TEACHING INSTITUTION,2010,0
NV,DISTRIBUTOR,2010,8
NV,HOSPITAL,2010,18
NV,MANUFACTURER,2010,0
NV,MID LEVEL PRACTITIONER,2010,2
NV,NTP,2010,0
NV,PHARMACY,2010,65
NV,PRACTITIONER,2010,3
NV,RESEARCHER,2010,0
NY,ANALYTICAL LAB,2010,0
NY,DISTRIBUTOR,2010,48
NY,HOSPITAL,2010,112
NY,IMPORTER,2010,0
NY,MANUFACTURER,2010,6
NY,MID LEVEL PRACTITIONER,2010,1
NY,NTP,2010,11
NY,PHARMACY,2010,229
NY,PRACTITIONER,2010,34
NY,RESEARCHER,2010,1
NY,TEACHING INSTITUTION,2010,0
OH,ANALYTICAL LAB,2010,1
OH,DISTRIBUTOR,2010,109
OH,HOSPITAL,2010,157
OH,IMPORTER,2010,0
OH,MANUFACTURER,2010,3
OH,MID LEVEL PRACTITIONER,2010,10
OH,NTP,2010,4
OH,PHARMACY,2010,1052
OH,PRACTITIONER,2010,17
OH,RESEARCHER,2010,0
OH,REVERSE DISTRIBUTOR,2010,0
OH,TEACHING INSTITUTION,2010,0
OK,ANALYTICAL LAB,2010,0
OK,CANINE HANDLER,2010,0
OK,DISTRIBUTOR,2010,9
OK,HOSPITAL,2010,67
OK,MANUFACTURER,2010,3
OK,MID LEVEL PRACTITIONER,2010,0
OK,NTP,2010,0
OK,PHARMACY,2010,122
OK,PRACTITIONER,2010,39
OK,REVERSE DISTRIBUTOR,2010,4
OR,DISTRIBUTOR,2010,0
OR,HOSPITAL,2010,15
OR,MANUFACTURER,2010,0
OR,MID LEVEL PRACTITIONER,2010,0
OR,NTP,2010,0
OR,PHARMACY,2010,99
OR,PRACTITIONER,2010,22
PA,ANALYTICAL LAB,2010,0
PA,DISTRIBUTOR,2010,24
PA,HOSPITAL,2010,130
PA,MANUFACTURER,2010,7
PA,MID LEVEL PRACTITIONER,2010,0
PA,NTP,2010,2
PA,PHARMACY,2010,450
PA,PRACTITIONER,2010,25
PA,RESEARCHER,2010,2
PA,REVERSE DISTRIBUTOR,2010,0
PR,ANALYTICAL LAB,2010,0
PR,CANINE HANDLER,2010,0
PR,DISTRIBUTOR,2010,4
PR,EXPORTER,2010,1
PR,HOSPITAL,2010,0
PR,MANUFACTURER,2010,1
PR,NTP,2010,0
PR,PHARMACY,2010,6
RI,DISTRIBUTOR,2010,1
RI,EXPORTER,2010,0
RI,HOSPITAL,2010,15
RI,MANUFACTURER,2010,0
RI,NTP,2010,1
RI,PHARMACY,2010,36
RI,PRACTITIONER,2010,1
SC,ANALYTICAL LAB,2010,0
SC,CANINE HANDLER,2010,0
SC,DISTRIBUTOR,2010,21
SC,HOSPITAL,2010,41
SC,IMPORTER,2010,0
SC,MANUFACTURER,2010,0
SC,MID LEVEL PRACTITIONER,2010,2
SC,NTP,2010,0
SC,PHARMACY,2010,89
SC,PRACTITIONER,2010,16
SC,RESEARCHER,2010,0
SD,HOSPITAL,2010,16
SD,MID LEVEL PRACTITIONER,2010,0
SD,PHARMACY,2010,16
SD,PRACTITIONER,2010,1
TN,ANALYTICAL LAB,2010,0
TN,DISTRIBUTOR,2010,89
TN,EXPORTER,2010,0
TN,HOSPITAL,2010,129
TN,IMPORTER,2010,0
TN,MANUFACTURER,2010,4
TN,MID LEVEL PRACTITIONER,2010,1
TN,NTP,2010,0
TN,PHARMACY,2010,224
TN,PRACTITIONER,2010,13
TN,RESEARCHER,2010,0
TN,REVERSE DISTRIBUTOR,2010,0
TX,ANALYTICAL LAB,2010,0
TX,CANINE HANDLER,2010,2
TX,DISTRIBUTOR,2010,58
TX,HOSPITAL,2010,181
TX,MANUFACTURER,2010,0
TX,MID LEVEL PRACTITIONER,2010,14
TX,NTP,2010,2
TX,PHARMACY,2010,328
TX,PRACTITIONER,2010,50
TX,RESEARCHER,2010,1
TX,REVERSE DISTRIBUTOR,2010,2
TX,TEACHING INSTITUTION,2010,0
UT,ANALYTICAL LAB,2010,0
UT,DISTRIBUTOR,2010,13
UT,HOSPITAL,2010,51
UT,MANUFACTURER,2010,1
UT,MID LEVEL PRACTITIONER,2010,0
UT,NTP,2010,0
UT,PHARMACY,2010,108
UT,PRACTITIONER,2010,6
UT,RESEARCHER,2010,0
VA,ANALYTICAL LAB,2010,0
VA,CANINE HANDLER,2010,0
VA,DISTRIBUTOR,2010,9
VA,HOSPITAL,2010,41
VA,IMPORTER,2010,0
VA,MANUFACTURER,2010,0
VA,MID LEVEL PRACTITIONER,2010,0
VA,NTP,2010,0
VA,PHARMACY,2010,125
VA,PRACTITIONER,2010,21
VA,RESEARCHER,2010,0
VA,TEACHING INSTITUTION,2010,0
VI,HOSPITAL,2010,0
VI,PHARMACY,2010,0
VT,CANINE HANDLER,2010,0
VT,DISTRIBUTOR,2010,0
VT,HOSPITAL,2010,11
VT,MANUFACTURER,2010,0
VT,MID LEVEL PRACTITIONER,2010,0
VT,NTP,2010,0
VT,PHARMACY,2010,29
VT,PRACTITIONER,2010,1
VT,TEACHING INSTITUTION,2010,0
WA,DISTRIBUTOR,2010,20
WA,HOSPITAL,2010,27
WA,MANUFACTURER,2010,0
WA,MID LEVEL PRACTITIONER,2010,1
WA,NTP,2010,1
WA,PHARMACY,2010,206
WA,PRACTITIONER,2010,14
WA,RESEARCHER,2010,0
WI,DISTRIBUTOR,2010,12
WI,HOSPITAL,2010,15
WI,IMPORTER,2010,0
WI,MID LEVEL PRACTITIONER,2010,0
WI,NTP,2010,0
WI,PHARMACY,2010,85
WI,PRACTITIONER,2010,12
WI,RESEARCHER,2010,0
WI,REVERSE DISTRIBUTOR,2010,76
WV,CANINE HANDLER,2010,0
WV,DISTRIBUTOR,2010,16
WV,HOSPITAL,2010,20
WV,IMPORTER,2010,0
WV,MANUFACTURER,2010,0
WV,MID LEVEL PRACTITIONER,2010,2
WV,NTP,2010,0
WV,PHARMACY,2010,65
WV,PRACTITIONER,2010,2
WY,CANINE HANDLER,2010,1
WY,HOSPITAL,2010,8
WY,IMPORTER,2010,0
WY,MID LEVEL PRACTITIONER,2010,0
WY,PHARMACY,2010,14
WY,PRACTITIONER,2010,1
AK,DISTRIBUTOR,2011,0
AK,HOSPITAL,2011,22
AK,MID LEVEL PRACTITIONER,2011,1
AK,PHARMACY,2011,6
AK,PRACTITIONER,2011,5
AL,ANALYTICAL LAB,2011,0
AL,DISTRIBUTOR,2011,21
AL,EXPORTER,2011,0
AL,HOSPITAL,2011,52
AL,MANUFACTURER,2011,5
AL,MID LEVEL PRACTITIONER,2011,0
AL,NTP,2011,0
AL,PHARMACY,2011,228
AL,PRACTITIONER,2011,11
AL,RESEARCHER,2011,0
AP,HOSPITAL,2011,0
AR,CANINE HANDLER,2011,0
AR,DISTRIBUTOR,2011,42
AR,HOSPITAL,2011,62
AR,MANUFACTURER,2011,0
AR,MID LEVEL PRACTITIONER,2011,0
AR,NTP,2011,0
AR,PHARMACY,2011,79
AR,PRACTITIONER,2011,15
AR,RESEARCHER,2011,0
AS,HOSPITAL,2011,0
AZ,ANALYTICAL LAB,2011,0
AZ,CANINE HANDLER,2011,1
AZ,DISTRIBUTOR,2011,17
AZ,HOSPITAL,2011,67
AZ,MANUFACTURER,2011,0
AZ,MID LEVEL PRACTITIONER,2011,1
AZ,NTP,2011,0
AZ,PHARMACY,2011,890
AZ,PRACTITIONER,2011,20
AZ,RESEARCHER,2011,0
CA,CANINE HANDLER,2011,0
CA,DISTRIBUTOR,2011,64
CA,EXPORTER,2011,0
CA,HOSPITAL,2011,200
CA,MANUFACTURER,2011,14
CA,MID LEVEL PRACTITIONER,2011,0
CA,NTP,2011,4
CA,PHARMACY,2011,471
CA,PRACTITIONER,2011,71
CA,RESEARCHER,2011,2
CA,REVERSE DISTRIBUTOR,2011,0
CA,TEACHING INSTITUTION,2011,0
CO,ANALYTICAL LAB,2011,1
CO,CANINE HANDLER,2011,0
CO,DISTRIBUTOR,2011,9
CO,HOSPITAL,2011,100
CO,IMPORTER,2011,0
CO,MANUFACTURER,2011,2
CO,MID LEVEL PRACTITIONER,2011,1
CO,NTP,2011,1
CO,PHARMACY,2011,118
CO,PRACTITIONER,2011,24
CO,RESEARCHER,2011,1
CO,TEACHING INSTITUTION,2011,1
CT,ANALYTICAL LAB,2011,0
CT,CANINE HANDLER,2011,0
CT,DISTRIBUTOR,2011,12
CT,EXPORTER,2011,0
CT,HOSPITAL,2011,76
CT,MANUFACTURER,2011,0
CT,MID LEVEL PRACTITIONER,2011,0
CT,NTP,2011,0
CT,PHARMACY,2011,106
CT,PRACTITIONER,2011,7
CT,RESEARCHER,2011,0
DC,DISTRIBUTOR,2011,0
DC,HOSPITAL,2011,8
DC,MID LEVEL PRACTITIONER,2011,0
DC,PHARMACY,2011,8
DC,PRACTITIONER,2011,2
DC,RESEARCHER,2011,0
DC,TEACHING INSTITUTION,2011,1
DE,ANALYTICAL LAB,2011,0
DE,DISTRIBUTOR,2011,0
DE,HOSPITAL,2011,31
DE,MANUFACTURER,2011,0
DE,NTP,2011,0
DE,PHARMACY,2011,15
DE,PRACTITIONER,2011,6
DE,RESEARCHER,2011,0
FL,ANALYTICAL LAB,2011,0
FL,CANINE HANDLER,2011,2
FL,DISTRIBUTOR,2011,92
FL,EXPORTER,2011,0
FL,HOSPITAL,2011,116
FL,IMPORTER,2011,0
FL,MANUFACTURER,2011,7
FL,MID LEVEL PRACTITIONER,2011,2
FL,NTP,2011,3
FL,PHARMACY,2011,863
FL,PRACTITIONER,2011,49
FL,RESEARCHER,2011,2
FL,REVERSE DISTRIBUTOR,2011,11
GA,ANALYTICAL LAB,2011,0
GA,CANINE HANDLER,2011,2
GA,DISTRIBUTOR,2011,45
GA,EXPORTER,2011,0
GA,HOSPITAL,2011,107
GA,MANUFACTURER,2011,5
GA,MID LEVEL PRACTITIONER,2011,0
GA,NTP,2011,1
GA,PHARMACY,2011,159
GA,PRACTITIONER,2011,20
GA,RESEARCHER,2011,1
GA,REVERSE DISTRIBUTOR,2011,0
GU,HOSPITAL,2011,0
GU,PHARMACY,2011,0
HI,DISTRIBUTOR,2011,4
HI,HOSPITAL,2011,7
HI,NTP,2011,0
HI,PHARMACY,2011,22
HI,PRACTITIONER,2011,1
IA,ANALYTICAL LAB,2011,0
IA,CANINE HANDLER,2011,0
IA,DISTRIBUTOR,2011,3
IA,HOSPITAL,2011,8
IA,MID LEVEL PRACTITIONER,2011,0
IA,NTP,2011,0
IA,PHARMACY,2011,42
IA,PRACTITIONER,2011,4
IA,RESEARCHER,2011,0
ID,CANINE HANDLER,2011,0
ID,DISTRIBUTOR,2011,0
ID,HOSPITAL,2011,61
ID,MID LEVEL PRACTITIONER,2011,1
ID,PHARMACY,2011,29
ID,PRACTITIONER,2011,4
IL,ANALYTICAL LAB,2011,0
IL,CANINE HANDLER,2011,0
IL,DISTRIBUTOR,2011,53
IL,EXPORTER,2011,0
IL,HOSPITAL,2011,66
IL,MANUFACTURER,2011,0
IL,MID LEVEL PRACTITIONER,2011,0
IL,NTP,2011,1
IL,PHARMACY,2011,159
IL,PRACTITIONER,2011,15
IL,RESEARCHER,2011,2
IL,REVERSE DISTRIBUTOR,2011,1
IL,TEACHING INSTITUTION,2011,0
IN,ANALYTICAL LAB,2011,0
IN,CANINE HANDLER,2011,0
IN,DISTRIBUTOR,2011,28
IN,HOSPITAL,2011,106
IN,IMPORTER,2011,0
IN,MANUFACTURER,2011,0
IN,MID LEVEL PRACTITIONER,2011,1
IN,NTP,2011,1
IN,PHARMACY,2011,495
IN,PRACTITIONER,2011,9
IN,RESEARCHER,2011,0
IN,REVERSE DISTRIBUTOR,2011,2
KS,CANINE HANDLER,2011,0
KS,DISTRIBUTOR,2011,13
KS,HOSPITAL,2011,27
KS,MANUFACTURER,2011,0
KS,MID LEVEL PRACTITIONER,2011,2
KS,NTP,2011,0
KS,PHARMACY,2011,61
KS,PRACTITIONER,2011,7
KS,RESEARCHER,2011,0
KY,CANINE HANDLER,2011,0
KY,DISTRIBUTOR,2011,63
KY,EXPORTER,2011,0
KY,HOSPITAL,2011,81
KY,IMPORTER,2011,0
KY,MANUFACTURER,2011,0
KY,MID LEVEL PRACTITIONER,2011,0
KY,NTP,2011,0
KY,PHARMACY,2011,173
KY,PRACTITIONER,2011,6
KY,RESEARCHER,2011,0
LA,DISTRIBUTOR,2011,4
LA,HOSPITAL,2011,176
LA,MID LEVEL PRACTITIONER,2011,0
LA,NTP,2011,0
LA,PHARMACY,2011,151
LA,PRACTITIONER,2011,12
MA,CANINE HANDLER,2011,0
MA,DISTRIBUTOR,2011,22
MA,HOSPITAL,2011,91
MA,MANUFACTURER,2011,7
MA,MID LEVEL PRACTITIONER,2011,1
MA,NTP,2011,2
MA,PHARMACY,2011,249
MA,PRACTITIONER,2011,11
MA,RESEARCHER,2011,2
MD,ANALYTICAL LAB,2011,0
MD,DISTRIBUTOR,2011,20
MD,EXPORTER,2011,0
MD,HOSPITAL,2011,20
MD,MANUFACTURER,2011,1
MD,MID LEVEL PRACTITIONER,2011,1
MD,NTP,2011,1
MD,PHARMACY,2011,200
MD,PRACTITIONER,2011,21
MD,RESEARCHER,2011,1
ME,DISTRIBUTOR,2011,2
ME,HOSPITAL,2011,15
ME,MID LEVEL PRACTITIONER,2011,0
ME,NTP,2011,0
ME,PHARMACY,2011,88
ME,PRACTITIONER,2011,6
ME,RESEARCHER,2011,0
MI,CANINE HANDLER,2011,1
MI,DISTRIBUTOR,2011,12
MI,EXPORTER,2011,0
MI,HOSPITAL,2011,59
MI,IMPORTER,2011,0
MI,MANUFACTURER,2011,1
MI,MID LEVEL PRACTITIONER,2011,1
MI,NTP,2011,0
MI,PHARMACY,2011,249
MI,PRACTITIONER,2011,7
MI,RESEARCHER,2011,0
MI,REVERSE DISTRIBUTOR,2011,0
MI,TEACHING INSTITUTION,2011,0
MN,ANALYTICAL LAB,2011,0
MN,CANINE HANDLER,2011,0
MN,DISTRIBUTOR,2011,9
MN,HOSPITAL,2011,58
MN,IMPORTER,2011,0
MN,MANUFACTURER,2011,5
MN,MID LEVEL PRACTITIONER,2011,0
MN,NTP,2011,1
MN,PHARMACY,2011,82
MN,PRACTITIONER,2011,9
MN,RESEARCHER,2011,1
MN,REVERSE DISTRIBUTOR,2011,0
MO,ANALYTICAL LAB,2011,0
MO,CANINE HANDLER,2011,0
MO,DISTRIBUTOR,2011,13
MO,HOSPITAL,2011,73
MO,MANUFACTURER,2011,1
MO,MID LEVEL PRACTITIONER,2011,3
MO,NTP,2011,0
MO,PHARMACY,2011,520
MO,PRACTITIONER,2011,9
MO,RESEARCHER,2011,0
MO,TEACHING INSTITUTION,2011,1
MP,PHARMACY,2011,0
MS,DISTRIBUTOR,2011,9
MS,EXPORTER,2011,0
MS,HOSPITAL,2011,39
MS,MANUFACTURER,2011,0
MS,MID LEVEL PRACTITIONER,2011,0
MS,PHARMACY,2011,112
MS,PRACTITIONER,2011,3
MS,RESEARCHER,2011,0
MT,HOSPITAL,2011,24
MT,MID LEVEL PRACTITIONER,2011,2
MT,NTP,2011,0
MT,PHARMACY,2011,14
MT,PRACTITIONER,2011,3
NC,ANALYTICAL LAB,2011,1
NC,CANINE HANDLER,2011,0
NC,DISTRIBUTOR,2011,28
NC,EXPORTER,2011,0
NC,HOSPITAL,2011,121
NC,IMPORTER,2011,0
NC,MANUFACTURER,2011,1
NC,MID LEVEL PRACTITIONER,2011,31
NC,NTP,2011,2
NC,PHARMACY,2011,216
NC,PRACTITIONER,2011,21
NC,RESEARCHER,2011,1
NC,REVERSE DISTRIBUTOR,2011,0
NC,TEACHING INSTITUTION,2011,0
ND,DISTRIBUTOR,2011,1
ND,HOSPITAL,2011,37
ND,IMPORTER,2011,0
ND,MANUFACTURER,2011,0
ND,NTP,2011,0
ND,PHARMACY,2011,24
ND,PRACTITIONER,2011,2
NE,DISTRIBUTOR,2011,3
NE,HOSPITAL,2011,9
NE,MANUFACTURER,2011,1
NE,MID LEVEL PRACTITIONER,2011,1
NE,PHARMACY,2011,33
NE,PRACTITIONER,2011,3
NE,RESEARCHER,2011,0
NH,DISTRIBUTOR,2011,2
NH,HOSPITAL,2011,40
NH,IMPORTER,2011,0
NH,MID LEVEL PRACTITIONER,2011,0
NH,NTP,2011,0
NH,PHARMACY,2011,215
NH,PRACTITIONER,2011,2
NJ,ANALYTICAL LAB,2011,0
NJ,CANINE HANDLER,2011,0
NJ,DISTRIBUTOR,2011,212
NJ,EXPORTER,2011,1
NJ,HOSPITAL,2011,20
NJ,IMPORTER,2011,0
NJ,MANUFACTURER,2011,3
NJ,MID LEVEL PRACTITIONER,2011,0
NJ,NTP,2011,4
NJ,PHARMACY,2011,209
NJ,PRACTITIONER,2011,29
NJ,RESEARCHER,2011,0
NM,HOSPITAL,2011,62
NM,MANUFACTURER,2011,0
NM,MID LEVEL PRACTITIONER,2011,8
NM,NTP,2011,0
NM,PHARMACY,2011,38
